# background genes,# genes,perc_overlap,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year
3,3,1,GO Biological Process,,Apoptotic process involved in embryonic digit morphogenesis,0.00016,BAX|BCL2L11|NOTCH1,128,547|586|571,0.000009,,GO:1902263,0.379588001734407,0
2,2,1,GO Biological Process,,Meiotic mismatch repair,0.0041,ERCC1|MSH6,128,730|388,0.00036,,GO:0000710,0.238721614328026,0
2,2,1,GO Biological Process,,B cell negative selection,0.0041,BAX|BAK1,128,547|520,0.00036,,GO:0002352,0.238721614328026,0
2,2,1,GO Biological Process,,Negative regulation of transforming growth factor beta2 production,0.0041,CDH3|GATA6,128,697|631,0.00036,,GO:0032912,0.238721614328026,0
2,2,1,GO Biological Process,,Dendritic cell apoptotic process,0.0041,BCL2L1|BCL2,128,385|553,0.00036,,GO:0097048,0.238721614328026,0
2,2,1,GO Biological Process,,Positive regulation of single strand break repair,0.0041,XRCC1|PARP1,128,769|409,0.00036,,GO:1903518,0.238721614328026,0
2,2,1,GO Biological Process,,Negative regulation of cardiac muscle tissue regeneration,0.0041,CDKN1B|CDKN1A,128,583|604,0.00036,,GO:1905179,0.238721614328026,0
2,2,1,GO Biological Process,,Mitotic recombination-dependent replication fork processing,0.0041,BRCA2|RAD51,128,751|658,0.00036,,GO:1990426,0.238721614328026,0
4,3,0.75,GO Biological Process,,Post-embryonic camera-type eye morphogenesis,0.00026,KDR|BAX|BAK1,128,460|547|520,0.0000157,,GO:0048597,0.358502665202918,0
3,2,0.666666666666667,GO Biological Process,,Regulation of cell proliferation involved in heart valve morphogenesis,0.0065,SMAD4|NOTCH1,128,616|571,0.00059,,GO:0003250,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Regulation of nitrogen utilization,0.0065,BAX|BCL2,128,547|553,0.00059,,GO:0006808,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Mast cell differentiation,0.0065,KIT|GATA3,128,514|445,0.00059,,GO:0060374,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Tertiary branching involved in mammary gland duct morphogenesis,0.0065,PGR|AR,128,568|733,0.00059,,GO:0060748,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Positive regulation of epithelial cell proliferation involved in prostate gland development,0.0065,AR|CTNNB1,128,733|580,0.00059,,GO:0060769,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Telomeric DNA-containing double minutes formation,0.0065,ERCC1|XRCC1,128,730|769,0.00059,,GO:0061819,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Negative regulation of thrombin-activated receptor signaling pathway,0.0065,MET|STMN1,128,400|439,0.00059,,GO:0070495,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Angiotensin-activated signaling pathway involved in heart process,0.0065,CAV1|SRC,128,685|625,0.00059,,GO:0086098,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0.0065,BAX|SMAD3,128,547|538,0.00059,,GO:0097296,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Negative regulation of protection from non-homologous end joining at telomere,0.0065,ERCC1|XRCC1,128,730|769,0.00059,,GO:1905765,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Positive regulation of pentose-phosphate shunt,0.0065,RPTOR|MTOR,128,676|352,0.00059,,GO:1905857,0.218708664335714,0
3,2,0.666666666666667,GO Biological Process,,Response to prolactin,0.0065,EEF2K|SRC,128,349|625,0.00059,,GO:1990637,0.218708664335714,0
5,3,0.6,GO Biological Process,,Cellular response to indole-3-methanol,0.00039,CDH1|CTNNA1|CTNNB1,128,355|754|580,0.0000249,,GO:0071681,0.34089353929735,0
5,3,0.6,GO Biological Process,,Regulation of myofibroblast differentiation,0.00039,RB1|PDCD4|PARP1,128,595|397|409,0.0000249,,GO:1904760,0.34089353929735,0
10,5,0.5,GO Biological Process,,Regulation of epithelial cell proliferation involved in prostate gland development,0.00000199,CDKN1B|STK11|AR|CTNNB1|NOTCH1,128,583|499|733|580|571,0.0000000742,,GO:0060768,0.570114692359029,0
6,3,0.5,GO Biological Process,,Regulation of pentose-phosphate shunt,0.00056,TP53|RPTOR|MTOR,128,709|676|352,0.0000372,,GO:0043456,0.32518119729938,0
6,3,0.5,GO Biological Process,,Mammary gland branching involved in pregnancy,0.00056,PGR|AR|ESR1,128,568|733|760,0.0000372,,GO:0060745,0.32518119729938,0
6,3,0.5,GO Biological Process,,Endocardial cell differentiation,0.00056,NRG1|SMAD4|NOTCH1,128,502|616|571,0.0000372,,GO:0060956,0.32518119729938,0
6,3,0.5,GO Biological Process,,Negative regulation of hepatocyte apoptotic process,0.00056,RB1|PRKAA1|ADAR,128,595|343|646,0.0000372,,GO:1903944,0.32518119729938,0
4,2,0.5,GO Biological Process,,Positive regulation of mast cell cytokine production,0.0093,KIT|SYK,128,514|382,0.00088,,GO:0032765,0.203151705144606,0
4,2,0.5,GO Biological Process,,Negative regulation of mammary gland epithelial cell proliferation,0.0093,GATA3|BRCA2,128,445|751,0.00088,,GO:0033600,0.203151705144606,0
4,2,0.5,GO Biological Process,,ERBB2-ERBB3 signaling pathway,0.0093,ERBB3|NRG1,128,487|502,0.00088,,GO:0038133,0.203151705144606,0
4,2,0.5,GO Biological Process,,Retinal cell programmed cell death,0.0093,BAX|BCL2,128,547|553,0.00088,,GO:0046666,0.203151705144606,0
4,2,0.5,GO Biological Process,,Regulation of Golgi inheritance,0.0093,MAPK1|MAP2K1,128,622|559,0.00088,,GO:0090170,0.203151705144606,0
4,2,0.5,GO Biological Process,,Regulation of peptidyl-tyrosine autophosphorylation,0.0093,NRG1|CAV1,128,502|685,0.00088,,GO:1900084,0.203151705144606,0
4,2,0.5,GO Biological Process,,Regulation of TRAIL-activated apoptotic signaling pathway,0.0093,PARK7|PTEN,128,340|373,0.00088,,GO:1903121,0.203151705144606,0
4,2,0.5,GO Biological Process,,Negative regulation of myofibroblast differentiation,0.0093,RB1|PDCD4,128,595|397,0.00088,,GO:1904761,0.203151705144606,0
4,2,0.5,GO Biological Process,,Positive regulation of mitochondrial ATP synthesis coupled electron transport,0.0093,CCNB1|CDK1,128,457|637,0.00088,,GO:1905448,0.203151705144606,0
11,5,0.454545454545455,GO Biological Process,,Thymocyte apoptotic process,0.00000279,TP53|BAX|BAK1|CHEK2|BCL2L11,128,709|547|520|361|586,0.000000107,,GO:0070242,0.55543957967264,0
9,4,0.444444444444444,GO Biological Process,,Regulation of transforming growth factor beta2 production,0.000047,CDH3|GATA6|SMAD3|SMAD4,128,697|631|538|616,0.00000236,,GO:0032909,0.432790214206428,0
9,4,0.444444444444444,GO Biological Process,,Negative regulation of cell size,0.000047,TSC1|MTOR|PTEN|AKT1S1,128,433|352|373|469,0.00000236,,GO:0045792,0.432790214206428,0
16,7,0.4375,GO Biological Process,,Replicative senescence,0.0000000119,ERCC1|SERPINE1|TP53|ATM|CHEK2|CDKN1A|CHEK1,128,730|322|709|475|361|604|442,3.25E-10,,GO:0090399,0.792445303860747,0
7,3,0.428571428571429,GO Biological Process,,SMAD protein complex assembly,0.00077,SMAD1|SMAD3|SMAD4,128,700|538|616,0.0000528,,GO:0007183,0.311350927482752,0
7,3,0.428571428571429,GO Biological Process,,Trachea formation,0.00077,MAPK1|MAP2K1|CTNNB1,128,622|559|580,0.0000528,,GO:0060440,0.311350927482752,0
10,4,0.4,GO Biological Process,,Vagina development,0.0000637,BAX|AXL|BAK1|ESR1,128,547|670|520|760,0.00000328,,GO:0060068,0.419586056766465,0
5,2,0.4,GO Biological Process,,T cell proliferation involved in immune response,0.0123,TP53|RPS6,128,709|682,0.0012,,GO:0002309,0.19100948885606,0
5,2,0.4,GO Biological Process,,Negative regulation of vitamin D biosynthetic process,0.0123,NFKB1|SNAI1,128,601|655,0.0012,,GO:0010957,0.19100948885606,0
5,2,0.4,GO Biological Process,,Positive regulation of deoxyribonuclease activity,0.0123,PRKCD|PCNA,128,325|376,0.0012,,GO:0032077,0.19100948885606,0
5,2,0.4,GO Biological Process,,Glial cell apoptotic process,0.0123,RB1|TP53,128,595|709,0.0012,,GO:0034349,0.19100948885606,0
5,2,0.4,GO Biological Process,,Positive regulation of RNA polymerase II transcription preinitiation complex assembly,0.0123,TP53|ESR1,128,709|760,0.0012,,GO:0045899,0.19100948885606,0
