"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000493712","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000493712",,,"0.4",,,,"0.908","0.854"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000233146","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000233146",,,"0.9","0.608",,,"0.992","0.817"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000375978","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000375978","0.049",,"0.9",,,,"0.982","0.831"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000262887","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000262887","0.128",,"0.36",,,,"0.967","0.946"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000234420","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000234420","0.049",,"0.9","0.181",,,"0.974","0.709"
"pp","9606.ENSP00000013807 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000013807 (pp) 9606.ENSP00000278616",,,"0.9",,,,"0.975","0.77"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000225577","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000225577","0.049",,"0.9","0.097",,,"0.927","0.252"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000378040","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000378040","0.06",,"0.9",,,,"0.917","0.195"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000305769","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000305769","0.06",,"0.9","0.625",,,"0.965","0.126"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000419060","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000419060","0.095",,"0.7","0.647",,,"0.949","0.539"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000302486","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000302486","0.153",,"0.9","0.929",,,"0.999","0.95"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000376943","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000376943","0.086",,"0.9","0.292",,,"0.953","0.373"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000410452","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000410452","0.05",,"0.9","0.072",,,"0.949","0.492"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000358548","0.109",,"0.9","0.098",,,"0.959","0.552"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000339527","0.147",,"0.9","0.304",,,"0.963","0.462"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000408695","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000408695","0.128",,"0.9","0.102",,,"0.931","0.233"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000340691","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000340691",,,"0.9","0.329",,,"0.978","0.708"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000357055","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000357055","0.062",,"0.7","0.972",,,"0.998","0.781"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000401303","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000401303","0.055",,"0.4","0.684",,,"0.962","0.818"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000405330",,,"0.9","0.625",,,"0.987","0.682"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000298552","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000298552","0.069",,"0.9","0.113",,,"0.926","0.219"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000401888","0.116",,"0.7","0.8",,,"0.975","0.594"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000381185","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000381185","0.086",,"0.9","0.292",,,"0.969","0.586"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000376436","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000376436","0.106",,"0.9","0.609",,,"0.992","0.82"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000478887",,,"0.9","0.643",,,"0.983","0.582"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000331602","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000331602","0.07",,"0.9","0.151",,,"0.929","0.218"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000219476","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000219476","0.06",,"0.9","0.292",,,"0.952","0.377"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000496129","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000496129","0.126",,"0.9","0.102",,,"0.928","0.196"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000229795","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000229795","0.343","0.067","0.9","0.816",,,"0.995","0.677"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000435412","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000435412","0.074",,"0.9","0.989",,,"0.999","0.821"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000332973","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000332973","0.104",,"0.9","0.364",,,"0.962","0.416"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000362680","0.066",,"0.5","0.343",,,"0.932","0.805"
